iter:204, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:205, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:206, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:207, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:208, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:209, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:210, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:211, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:212, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
iter:213, x:27.370, y:-4.144, z:-16.071, phi:0.000, theta:-0.000, psi:-2.816 
iter:214, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:215, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:216, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:217, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:218, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:219, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:220, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:221, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:222, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:223, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:224, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:225, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:226, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:227, x:27.585, y:-4.204, z:-16.185, phi:0.000, theta:-0.000, psi:-2.810 
iter:228, x:30.597, y:-5.047, z:-17.825, phi:0.000, theta:-0.000, psi:-2.633 
iter:229, x:30.808, y:-5.107, z:-17.946, phi:0.000, theta:-0.000, psi:-2.617 
iter:230, x:31.019, y:-5.166, z:-18.068, phi:0.000, theta:-0.000, psi:-2.601 
iter:231, x:31.019, y:-5.166, z:-18.068, phi:0.000, theta:-0.000, psi:-2.601 
iter:232, x:31.019, y:-5.166, z:-18.068, phi:0.000, theta:-0.000, psi:-2.601 
iter:233, x:31.019, y:-5.166, z:-18.068, phi:0.000, theta:-0.000, psi:-2.601 
iter:234, x:31.861, y:-5.401, z:-18.563, phi:0.000, theta:0.000, psi:-2.536 
iter:235, x:31.861, y:-5.401, z:-18.563, phi:0.000, theta:0.000, psi:-2.536 
iter:236, x:31.861, y:-5.401, z:-18.563, phi:0.000, theta:0.000, psi:-2.536 
iter:237, x:31.861, y:-5.401, z:-18.563, phi:0.000, theta:0.000, psi:-2.536 
iter:238, x:31.861, y:-5.401, z:-18.563, phi:0.000, theta:0.000, psi:-2.536 
iter:239, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:240, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:241, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:242, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:243, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:244, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:245, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:246, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:247, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:248, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:249, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:250, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:251, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:252, x:32.909, y:-5.694, z:-19.197, phi:0.000, theta:0.000, psi:-2.456 
iter:253, x:35.812, y:-6.498, z:-20.999, phi:0.000, theta:0.000, psi:-2.288 
iter:254, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:255, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:256, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:257, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:258, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:259, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:260, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:261, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:262, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:263, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:264, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:265, x:36.018, y:-6.554, z:-21.128, phi:0.000, theta:0.000, psi:-2.281 
iter:266, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:267, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:268, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:269, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:270, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:271, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:272, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:273, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:274, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:275, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:276, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:277, x:38.468, y:-7.222, z:-22.681, phi:0.000, theta:0.000, psi:-2.243 
iter:278, x:40.884, y:-7.872, z:-24.242, phi:0.000, theta:0.000, psi:-2.292 
iter:279, x:40.884, y:-7.872, z:-24.242, phi:0.000, theta:0.000, psi:-2.292 
iter:280, x:40.884, y:-7.872, z:-24.242, phi:0.000, theta:0.000, psi:-2.292 
iter:281, x:40.884, y:-7.872, z:-24.242, phi:0.000, theta:0.000, psi:-2.292 
iter:282, x:40.884, y:-7.872, z:-24.242, phi:0.000, theta:0.000, psi:-2.292 
iter:283, x:40.884, y:-7.872, z:-24.242, phi:0.000, theta:0.000, psi:-2.292 
iter:284, x:42.081, y:-8.190, z:-25.033, phi:0.000, theta:0.000, psi:-2.341 
iter:285, x:42.081, y:-8.190, z:-25.033, phi:0.000, theta:0.000, psi:-2.341 
iter:286, x:42.081, y:-8.190, z:-25.033, phi:0.000, theta:0.000, psi:-2.341 
iter:287, x:42.081, y:-8.190, z:-25.033, phi:0.000, theta:0.000, psi:-2.341 
