iter:162, x:13.860, y:-4.868, z:-13.078, phi:0.012, theta:0.034, psi:2.138 
iter:163, x:13.969, y:-4.958, z:-13.141, phi:0.011, theta:0.030, psi:2.142 
iter:164, x:14.144, y:-5.100, z:-13.245, phi:0.009, theta:0.026, psi:2.146 
iter:165, x:14.275, y:-5.208, z:-13.324, phi:0.008, theta:0.023, psi:2.150 
iter:166, x:14.405, y:-5.315, z:-13.404, phi:0.008, theta:0.020, psi:2.153 
iter:167, x:14.579, y:-5.458, z:-13.512, phi:0.007, theta:0.017, psi:2.157 
iter:168, x:14.731, y:-5.583, z:-13.608, phi:0.006, theta:0.015, psi:2.160 
iter:169, x:14.861, y:-5.690, z:-13.691, phi:0.005, theta:0.013, psi:2.162 
iter:170, x:15.012, y:-5.815, z:-13.790, phi:0.005, theta:0.012, psi:2.165 
iter:171, x:15.142, y:-5.922, z:-13.876, phi:0.004, theta:0.010, psi:2.167 
iter:172, x:15.293, y:-6.047, z:-13.977, phi:0.003, theta:0.009, psi:2.170 
iter:173, x:15.422, y:-6.153, z:-14.065, phi:0.003, theta:0.008, psi:2.172 
iter:174, x:15.573, y:-6.278, z:-14.168, phi:0.003, theta:0.007, psi:2.174 
iter:175, x:15.702, y:-6.385, z:-14.258, phi:0.002, theta:0.006, psi:2.175 
iter:176, x:15.873, y:-6.527, z:-14.380, phi:0.002, theta:0.005, psi:2.177 
iter:177, x:16.002, y:-6.633, z:-14.472, phi:0.002, theta:0.004, psi:2.178 
iter:178, x:16.173, y:-6.775, z:-14.596, phi:0.002, theta:0.004, psi:2.180 
iter:179, x:16.301, y:-6.881, z:-14.690, phi:0.001, theta:0.003, psi:2.181 
iter:180, x:16.450, y:-7.005, z:-14.801, phi:0.001, theta:0.003, psi:2.182 
iter:181, x:16.578, y:-7.111, z:-14.897, phi:0.001, theta:0.003, psi:2.183 
iter:182, x:16.727, y:-7.235, z:-15.011, phi:0.001, theta:0.002, psi:2.184 
iter:183, x:16.897, y:-7.376, z:-15.141, phi:0.001, theta:0.002, psi:2.186 
iter:184, x:17.003, y:-7.464, z:-15.224, phi:0.001, theta:0.002, psi:2.186 
iter:185, x:17.172, y:-7.605, z:-15.357, phi:0.001, theta:0.001, psi:2.187 
iter:186, x:17.299, y:-7.710, z:-15.458, phi:0.001, theta:0.001, psi:2.188 
iter:187, x:17.447, y:-7.833, z:-15.576, phi:0.000, theta:0.001, psi:2.189 
iter:188, x:17.573, y:-7.938, z:-15.679, phi:0.000, theta:0.001, psi:2.189 
iter:189, x:17.742, y:-8.078, z:-15.816, phi:0.000, theta:0.001, psi:2.190 
iter:190, x:17.847, y:-8.166, z:-15.903, phi:0.000, theta:0.001, psi:2.191 
iter:191, x:18.015, y:-8.306, z:-16.043, phi:0.000, theta:0.001, psi:2.191 
iter:192, x:18.141, y:-8.410, z:-16.148, phi:0.000, theta:0.001, psi:2.192 
iter:193, x:18.287, y:-8.532, z:-16.272, phi:0.000, theta:0.000, psi:2.192 
iter:194, x:18.434, y:-8.654, z:-16.397, phi:0.000, theta:0.000, psi:2.193 
iter:195, x:18.559, y:-8.759, z:-16.505, phi:0.000, theta:0.000, psi:2.193 
iter:196, x:18.705, y:-8.880, z:-16.632, phi:0.000, theta:0.000, psi:2.194 
iter:197, x:18.830, y:-8.984, z:-16.741, phi:0.000, theta:0.000, psi:2.195 
iter:198, x:18.976, y:-9.106, z:-16.869, phi:0.000, theta:0.000, psi:2.195 
iter:199, x:19.142, y:-9.244, z:-17.016, phi:0.000, theta:0.000, psi:2.196 
iter:200, x:19.266, y:-9.348, z:-17.127, phi:0.000, theta:0.000, psi:2.197 
iter:201, x:19.411, y:-9.469, z:-17.257, phi:0.000, theta:0.000, psi:2.198 
iter:202, x:19.535, y:-9.573, z:-17.369, phi:0.000, theta:0.000, psi:2.198 
iter:203, x:19.680, y:-9.693, z:-17.500, phi:0.000, theta:0.000, psi:2.199 
iter:204, x:19.804, y:-9.797, z:-17.612, phi:0.000, theta:0.000, psi:2.200 
iter:205, x:19.969, y:-9.934, z:-17.763, phi:0.000, theta:0.000, psi:2.202 
iter:206, x:20.072, y:-10.020, z:-17.857, phi:0.000, theta:0.000, psi:2.203 
iter:207, x:20.236, y:-10.157, z:-18.009, phi:0.000, theta:0.000, psi:2.205 
iter:208, x:20.339, y:-10.243, z:-18.103, phi:0.000, theta:0.000, psi:2.208 
iter:209, x:20.503, y:-10.380, z:-18.255, phi:0.000, theta:0.000, psi:2.211 
iter:210, x:20.667, y:-10.517, z:-18.407, phi:0.000, theta:0.000, psi:2.214 
iter:211, x:20.769, y:-10.602, z:-18.502, phi:0.000, theta:0.000, psi:2.217 
iter:212, x:20.932, y:-10.738, z:-18.654, phi:0.000, theta:0.000, psi:2.222 
iter:213, x:21.055, y:-10.841, z:-18.768, phi:0.000, theta:0.000, psi:2.226 
